mack,doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue,loinhuansauthue,laitrencophieu
,36172276710.0,-2559843681.0,-13419244004.0,-20472856498.0,-20472856498.0,1673.2919042189283
,2647849213361.0,387124589261.0,81897121439.0,103966894389.0,88754501292.0,1673.2919042189283
,383675351036.0,95441883360.0,30341813098.0,30243170509.0,25299466155.0,1673.2919042189283
,202066527362.0,15313442743.0,501250491.0,6866509135.0,4960432175.0,195.0
,4609002093685.0,187715135254.0,-137176778.0,14105741507.0,9635176256.0,428.0
,135974693252.0,50697193396.0,16618293721.0,18318652312.0,14233870369.0,1673.2919042189283
,2981141404986.0,408135845787.0,97680610564.0,113213393981.0,96988181676.0,1673.2919042189283
,3516782742983.0,284972456676.0,113697860276.0,113767696377.0,90795554158.0,1673.2919042189283
,233265940693.0,173940731573.0,162987659978.0,166267167754.0,134166052946.0,2668.0
,4106543929913.0,198284619112.0,35314479067.0,33627719338.0,26814525232.0,1899.0
,30302374349.0,6750629875.0,-17345943716.0,-16648193204.0,-16648193204.0,1673.2919042189283
,190029517976.0,41060547161.0,12632622418.0,13816996910.0,9150901982.0,2242.0
,37098976163.0,4419704581.0,1010420718.0,2168023210.0,1990858716.0,55.0
,662274555759.0,194961518424.0,128787525826.0,149747209426.0,119211903372.0,1588.0
,592693625998.0,51140509414.0,4250035430.0,4196626625.0,3969469070.0,159.0
,447030635182.0,73348240963.0,44794562998.0,67611465709.0,66740121196.0,1290.0
,1538861395434.0,296283872210.0,94196373424.0,58265510565.0,42837174866.0,91.0
,590361400052.0,105265886409.0,38050506700.0,27079004307.0,20431470502.0,409.0
,11514698052.0,250683453.0,-13177043511.0,-14375839838.0,-14375839838.0,-856.0
,4712176016962.0,624976962156.0,70989671639.0,89101474908.0,76313142139.0,1673.2919042189283
,9465414074279.0,481469074669.0,136375786992.0,175158529011.0,139744444444.0,3261.0
,1855578766161.0,504857378426.0,327211422006.0,328271194726.0,258097064113.0,2811.0
,684754473081.0,137427196120.0,59867428937.0,59665895606.0,47317289001.0,3459.0
,21045158770378.0,712515105237.0,306498724661.0,386562030631.0,309592561393.0,3320.0
,8171292441970.0,464433481945.0,28984366215.0,58018315287.0,50932384458.0,552.0
,62402793000000.0,610514752463.5018,59357149000000.0,31758320000000.0,25475009000000.0,1673.2919042189283
,1118665972237.0,426367956271.0,131890601924.0,131513906607.0,120613747555.0,1947.0
,37776526169.0,786116339.0,487342140.0,487342140.0,389873712.0,1673.2919042189283
,12612944887926.0,882700734313.0,674336340710.0,671816187507.0,538692641780.0,4709.0
,1201799438231.0,676271138259.0,285114140997.0,287391524778.0,231086774298.0,1554.0
,2292680784030.0,159175847593.0,17423379282.0,16794050627.0,13174085520.0,2805.0
,495575643536.0,251056629514.0,136268242908.0,132040097249.0,104445865188.0,3198.0
,160661597738.0,49316579815.0,1268228201.0,14313528266.0,11366474712.0,145.0
,95730274466.0,13252908357.0,3315885503.0,3156585900.0,2822649004.0,95.0
,1711849859917.0,263439860649.0,88262716686.0,84538989851.0,59817899827.0,1630.0
,90020771803.0,3681733953.0,563922438.0,584384949.0,457692952.0,1673.2919042189283
,106293882447.0,16008622216.0,665735391.0,4811646115.0,3896943492.0,428.0
,346321381873.0,154928552035.0,112680038316.0,110701283890.0,88209222744.0,1673.2919042189283
,38218883913.0,3694376912.0,-2373112879.0,-1951299293.0,-1951299293.0,-1942.0
,500005871936.0,78792454168.0,15613875675.0,15511896527.0,11421629529.0,1839.0
,66760159719.0,18232291008.0,4089880299.0,4067979695.0,3165372456.0,1315.0
,74268617674.0,28518406798.0,10949939008.0,11816972416.0,9307353714.0,111.0
,564732021223.0,293216534711.0,98080526507.0,93328027466.0,71937041668.0,1673.2919042189283
,2938534598760.0,84888407176.0,65561719371.0,65543577817.0,58876691423.0,894.0
,13573523231898.0,1932209293709.0,834528520100.0,850683626312.0,769070818247.0,2298.0
,1727548387571.0,832573248856.0,329086211871.0,325135524332.0,275181949187.0,1673.2919042189283
,868411587644.0,345992357592.0,17048134906.0,20529624580.0,13693358381.0,1673.2919042189283
,250229267995.0,35244441858.0,8383682059.0,8276220982.0,5561838041.0,507.0
,1094711919843.0,241103190056.0,152052666037.0,152113733156.0,122336155703.0,2226.0
,1326405070911.0,109128926079.0,49652449846.0,50019618449.0,39384164583.0,1224.0
,1306797442020.0,204703984677.0,68767242251.0,68776802257.0,54145499702.0,733.0
,13455585149640.0,2384750012014.0,1249825608454.0,1448586860905.0,1341452428049.0,2286.0
,94879164053.0,6948190902.0,-86620760057.0,-80205239504.0,-80205239504.0,1673.2919042189283
,357793955736.0,61539082595.0,-647842804.0,15889968680.0,15468706255.0,1673.2919042189283
,258858166760.0,-39117643479.0,-208323577255.0,17121984694.0,17105549617.0,1673.2919042189283
,1392658709594.0,89986346170.0,2213273577.0,9243823246.0,7331313542.0,478.0
,3367693196873.0,363270921035.0,211688241939.0,212317654428.0,169466760730.0,1160.0
,291646906374.0,-5042623238.0,-396665457080.0,-402333301965.0,-402333301965.0,-5029.0
,9865301938473.0,3498556241379.0,3414160144988.0,3402608444483.0,3109580224213.0,7398.0
,269834576628.0,65331444465.0,-30049063678.0,4805191022.0,3217762592.0,37.0
,22078260362207.0,2055483405899.0,556488874659.0,568950772752.0,448547310254.0,2419.0
,296193414952.0,86727346067.0,75610276808.0,68270487826.0,51706620002.0,3512.0
,4439477098072.0,277074065077.0,-191136313736.0,6261379992.0,6261379992.0,1673.2919042189283
,3596507144729.0,426030312527.0,271091794518.0,279225253542.0,242198614252.0,2947.0
,664941272431.0,210171006444.0,48584378885.0,50728072310.0,40544914055.0,1451.0
,4884867655092.0,2137766133150.0,978656370753.0,904484566816.0,778920119960.0,5763.0
,3426213502971.0,26313882908.0,3594022559.0,3629750638.0,2545941152.0,1673.2919042189283
,237782477047.0,35065922891.0,14308384311.0,16005892777.0,13004714222.0,1673.2919042189283
,2086352824613.0,219818399204.0,82683615726.0,95221746275.0,75194063435.0,1673.2919042189283
,238359453631.0,16285791163.0,1613993231.0,2112585489.0,1371973481.0,88.0
,1314524344563.0,332300584221.0,169766600164.0,164893810143.0,102415870108.0,1673.2919042189283
,222112989462.0,39829069488.0,17459889307.0,17459889307.0,13567007345.0,1673.2919042189283
,547959392195.0,192684615489.0,40117930067.0,38296727025.0,33134910321.0,13.0
,1031980846097.0,298830991650.0,-36791302619.0,257949776799.0,250202763119.0,705.0
,12319501255.0,5772299228.0,-2501813002.0,10955523451.0,10823780258.0,2405.0
,868155807971.0,128095486948.0,75981317220.0,68883021571.0,54688214885.0,1673.2919042189283
,1899426872221.0,417480322565.0,249584323793.0,253446906527.0,202704519997.0,4961.0
,804254065280.0,75373730503.0,4050684927.0,3811888035.0,3532992739.0,1673.2919042189283
,2630406446317.0,515705166597.0,189862222254.0,197030001681.0,157554065593.0,2175.0
,937408787887.0,77057432162.0,53388845677.0,53491723905.0,42072932658.0,5241.0
,94510130009.0,13261927300.0,-2513755114.0,-7072208061.0,-7072208061.0,1673.2919042189283
,2080599352666.0,1090175726487.0,1108503754336.0,1110128937213.0,910238152596.0,2146.0
,644687222815.0,192932934401.0,103069767837.0,105593468819.0,94776969162.0,1673.2919042189283
,8898445300977.0,1504340090581.0,421445186638.0,228706945827.0,192598905427.0,337.0
,1282996622921.0,492458179110.0,384383751052.0,386169572792.0,346066572470.0,2506.0
,2025737354729.0,331424123792.0,140047054014.0,168741554248.0,132975841659.0,5657.0
,200193410113.0,17754467269.0,-5774106721.0,-5222175635.0,-5222175635.0,1673.2919042189283
,417485438238.0,276053827739.0,151849335627.0,151915020429.0,121171578583.0,5636.0
,31372875776.0,10354660555.0,-1851344100.0,-1761099467.0,-1761099467.0,-787.0
,3577129672372.0,545088016869.0,353049366721.0,343022426438.0,303233549337.0,3545.0
,13496142223703.0,1898080028247.0,738422779520.0,742878358817.0,610416287634.0,1221.0
,1224567614835.0,388143814651.0,345721377437.0,402747248968.0,344276195177.0,3217.0
,819277720976.0,190188247301.0,-102183158734.0,-100525900744.0,-101646259991.0,1673.2919042189283
,4673028857122.0,729459328514.0,290644657259.0,289111939031.0,231689620695.0,1950.0
,1191685595511.0,295160918728.0,179469520076.0,163185994231.0,124581818732.0,525.0
,2660045210.0,-2892674123.0,-184758979570.0,-187575946803.0,-197323703977.0,-1594.0
,470442520495.0,189578993300.0,141090945375.0,139676389989.0,110402882736.0,1489.0
,91341413148.0,59414124436.0,55973191379.0,55973191379.0,44647616917.0,4375.0
,51242863961.0,15199245587.0,9656176201.0,9788585713.0,9788585713.0,1673.2919042189283
,503109234914.0,337621478256.0,220698430617.0,220685259006.0,176819852316.0,1673.2919042189283
,169100821994.0,56973642336.0,12916809726.0,13019577466.0,11362533295.0,310.0
,807411969647.0,387934429377.0,213539404141.0,227501485005.0,181770625492.0,1673.2919042189283
,46081820884.0,1674836574.0,-13306556206.0,-18649193340.0,-18649193340.0,-622.0
,217636663313.0,132017120770.0,116317899761.0,116370968830.0,92592415761.0,6520.0
,194080618998.0,-39118467379.0,-21431698034.0,-20929517292.0,-20929517292.0,1673.2919042189283
,53034478392.0,1292274236.0,-2478814830.0,2921950524.0,2214434675.0,69.0
,140990451318.0,21897862411.0,91122150.0,3747824070.0,1777891388.0,98.0
,141521957080.0,-12719476086.0,-32099285738.0,-36955501333.0,-36955501333.0,-3696.0
,494573791771.0,220720692324.0,220688351247.0,220078911872.0,175832879507.0,2247.0
,364131608347.0,77890236093.0,28585504256.0,29027556153.0,23137343805.0,2770.0
,620650947433.0,1679700072.0,446951808.0,311949041.0,175798178.0,1673.2919042189283
,12839645638671.0,1244546493446.0,747826684100.0,751634727765.0,690292145065.0,1014.0
,2006659874277.0,-1986005498.0,-103406262396.0,2073984548.0,2073984548.0,36.0
,1293252290335.0,681468916200.0,264035620882.0,263986114877.0,237211269568.0,1673.2919042189283
,197386384524.0,33705511831.0,15683637088.0,15400089950.0,11616392827.0,1425.0
,174782026993.0,5314046455.0,-651088470.0,1348431645.0,1159193678.0,1673.2919042189283
,1579969259142.0,141054933309.0,59897214209.0,57477445986.0,49723578250.0,1162.0
,5521801445146.0,613403695600.0,504262839090.0,533751101827.0,486695245001.0,1760.0
,694341855567.0,326912995943.0,377168425953.0,403034350211.0,336224822010.0,8406.0
,287650158554.0,166430689695.0,49697402672.0,54862117404.0,49174003468.0,1560.0
,488807515091.0,156990103419.0,58030074007.0,55328920346.0,49451570519.0,1673.2919042189283
,4733193172494.0,2284828685686.0,691786284620.0,727690367519.0,454224823668.0,359.0
,681740913400.0,81573959172.0,67545641992.0,67517343725.0,54151350676.0,904.0
,2375608601388.0,1157091684926.0,347843831338.0,339426803954.0,252544149803.0,244.0
,177625193206.0,7632617537.0,-6931269231.0,-5680080988.0,-5680080988.0,-574.0
,21391226747.0,4214323906.0,-698108988.0,-904722405.0,-904722405.0,-168.0
,66449464733.0,6242834075.0,513680216.0,542762342.0,142492248.0,119.0
,72619116292.0,28698320559.0,18477667474.0,18482218077.0,17085623194.0,1673.2919042189283
,3775281685.0,720771406.0,-6367447886.0,61919133.0,-474872429.0,-487.0
,454052455516.0,29888879110.0,16805156205.0,17583413935.0,13954575584.0,698.0
,5923525000000.0,610514752463.5018,5157489000000.0,4188417000000.0,3326804000000.0,1673.2919042189283
,10972911239.0,1926215020.0,51059459311.0,51098201316.0,51095851370.0,1393.0
,1131861293497.0,293242580106.0,95488833610.0,95552082136.0,75752152338.0,5012.0
,40721510970.0,8105424521.0,-20539875789.0,-20800849182.0,-20800849182.0,1673.2919042189283
,800145221381.0,246041599793.0,119760139622.0,116875679920.0,101148079325.0,1158.0
,1848069710316.0,308190176870.0,86943462366.0,87259475080.0,65774645573.0,3132.0
,103578954128.0,39291541699.0,9188936813.0,9018601142.0,6710500146.0,1350.0
,741241688662.0,233084631119.0,-27309491491.0,-30071523464.0,-30443186461.0,-751.0
,1444335000000.0,610514752463.5018,1349080000000.0,703774000000.0,560822000000.0,704.0
,1192244445297.0,58620979834.0,61122008688.0,55730596746.0,43028313419.0,189.0
,251595463296.0,108240384792.0,21358582969.0,21323644300.0,17177035087.0,1673.2919042189283
,469074237334.0,48644837791.0,4528645125.0,2755642699.0,1005253301.0,38.0
,3374697356483.0,442257760792.0,62736700608.0,60698731944.0,30182353557.0,60.0
,405808298698.0,67124288687.0,-2622630827.0,-1480043178.0,-1480043178.0,-58.0
,28938468889.0,20321725610.0,6459458578.0,5062047483.0,5062047483.0,131.0
,15802593027.0,6584033413.0,-10065524589.0,-18316351386.0,-18316351386.0,-1248.0
,4093509173396.0,1043625260689.0,70672512968.0,72523946612.0,57685058789.0,4493.0
,1369180341465.0,188880043158.0,104935436900.0,102222650231.0,88882252073.0,694.0
,56128696800.0,1395388352.0,18647597005.0,17353669399.0,17353669399.0,508.0
,123961564779.0,75808687234.0,8691524225.0,8432308312.0,610194284.0,10.0
,1953658075141.0,392853494208.0,224797471089.0,227688734251.0,176507549459.0,351.0
,6912623489158.0,751680448585.0,422116807782.0,421810405344.0,422616028545.0,4675.0
,704503127877.0,319291283721.0,167931166746.0,167464619789.0,132828034428.0,6489.0
,17610400252637.0,8315776716636.0,3633301864610.0,3587597717336.0,2861086103961.0,1673.2919042189283
,2601818179.0,2579403397.0,-18945450209.0,-18945450209.0,-18945450209.0,-574.0
,62848794351368.0,23799752019317.0,11026253085978.0,11070838730842.0,9420078521864.0,4940.0
,40104492531184.0,7583060943947.0,543136778737.0,526957088186.0,408413632278.0,2331.0
,182779637902.0,488876857.0,-174248760586.0,-127288890722.0,-127288890722.0,1673.2919042189283
,1147748531060.0,742183792847.0,661173665835.0,663173267145.0,567317494337.0,1673.2919042189283
