MaCk,EPS,PE,PB,ROA,ROE,TangTruongDoanhThuThuan,TangTruongLoiNhuanGop,TangTruongTongTaiSan
BDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDT,-391.0,-17.71,0.49,-12.891.842.082.267.900,-2.615.563.014.314.730,-58.78,-56.96,-23.24
BDW,2905.0,8.5,1.48,7.829.825.171.389.470,1.393.370.646.072.660,4.46,-7.36,-2.68
BED,2497.0,12.33,2.12,1.380.723.252.244.070,1.721.023.748.554.320,-3.56,-12.09,01.05
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,109.0,0.0,0.0,9.944.515.096.203.600,9.998.640.306.770.780,-25.2,-17.62,-7.27
BFC,6267.0,6.42,1.51,13.058.774.414.576.000,2.816.601.619.941.940,8.96,53.47,-5.11
BGE,493.0,19.44,0.69,20.278.004.345.727.400,3.897.462.875.142.100,13.53,17.5,2.15
BGM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGW,636.0,25.28,1.51,4.987.942.955.152.570,5.960.584.524.619.840,5.37,3.68,-1.17
BHA,2480.0,8.91,1.47,10.585.416.632.983.100,16.539.212.320.160.800,18.31,26.16,-4.78
BHC,67.0,25.41,-0.1,876.423.714.886.681,0.0,-25.11,-59.82,-9.34
BHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHI,82.0,134.41,0.91,16.388.682.510.870.000,66.862.900.347.434.100,9.69,-251.94,10.17
BHK,1156.0,16.94,1.55,4.523.162.279.955.130,9.177.010.772.580.050,-1.82,3.82,-4.42
BHN,1649.0,23.07,1.67,5.548.007.302.393.570,7.632.298.324.509.210,6.0,14.16,1.55
BHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIC,4218.0,08.02,1.34,5.766.840.206.904.240,16.865.076.562.674.100,17.45,34.27,14.82
BID,4326.0,8.68,1.48,0.0,1.738.389.711.676.260,0.0,0.0,19.98
BIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKC,4593.0,3.11,0.71,12.577.721.027.195.900,227.502.458.706.798,28.99,215.3,16.33
BKG,213.0,15.4,0.31,1.908.187.603.493.300,20.233.648.649.606.800,55.29,17.02,-12.86
BKH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLI,1091.0,9.3,0.67,253.067.640.941.938,7.236.861.655.205.210,-0.56,-6.76,10.61
BLN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMC,2061.0,10.24,1.1,9.936.943.425.655.490,10.786.589.176.817.600,8.55,8.87,2.5
BMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMF,1023.0,8.54,0.77,22.530.357.358.149.700,8.967.756.898.529.820,-2.76,4.91,1.29
BMG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,1928.0,10.89,1.0,31.880.775.745.238.500,8.526.289.984.793.980,8.52,-1.77,6.44
BMJ,464.0,25.95,01.04,2.949.227.442.766.110,39.935.186.786.936.000,17.82,-3.88,7.58
BMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMP,12103.0,10.83,3.97,30.956.515.678.931.100,3.667.180.698.470.610,-10.5,-6.04,-1.67
BMS,1222.0,09.04,0.9,4.625.872.749.867.120,9.431.416.564.013.060,-9.38,34.3,50.52
BMV,78.0,99.29,0.76,3.941.271.314.479.750,7.613.508.714.312.770,-2.7,0.84,-1.47
BNA,2069.0,4.93,0.59,3.310.684.664.077.740,9.991.920.667.158.430,20.48,10.45,51.89
BNW,1377.0,6.74,0.81,5.654.006.326.081.180,12.008.195.786.036.000,12.75,33.56,21.47
BOT,4209.0,0.64,0.4,1.362.316.307.680.320,6.147.548.542.471.210,824.95,1185.84,25.2
BPC,292.0,33.87,0.4,6.234.800.684.553.830,11.835.549.890.984.700,18.13,7.88,-4.76
BPW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BQB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
