doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue
2787912700840.0,970329881300.0,676052403148.0,651446881794.0
11514698052.0,250683453.0,-13177043511.0,-14375839838.0
580826086172.0,38412831293.0,1877695229.0,1785523900.0
2727272724.0,1656010972.0,29081600106.0,28269301134.0
31372875776.0,10354660555.0,-1851344100.0,-1761099467.0
285225152800.0,101112481833.0,41520542265.0,44964355264.0
10157191034709.0,483944743453.0,315038284854.0,324755064236.0
741241688662.0,233084631119.0,-27309491491.0,-30071523464.0
1425281016698.0,24349297549.0,-91813126081.0,-88952918056.0
335690343652.0,134223737618.0,70628487296.0,71110097909.0
1630857986826.0,250711916591.0,174145746729.0,173984136032.0
465961353640.0,103056065826.0,59258151817.0,56825683482.0
920644864614.0,411726616417.0,330885370940.0,330723294676.0
1600157431150.0,140512804108.0,26164543745.0,32269495879.0
136026574491.0,57963136326.0,21320277567.0,23094629903.0
856943650.0,664816606.0,-36674352414.0,-29834729847.0
464083605533.0,65918584687.0,11857259288.0,12661013522.0
2647849213361.0,387124589261.0,81897121439.0,103966894389.0
2356140451956.0,180656968506.0,15847192847.0,15497804753.0
3766238031498.0,135440194644.0,10572009645.0,6113389635.0
2292680784030.0,159175847593.0,17423379282.0,16794050627.0
356512673684.0,80597183674.0,49042286003.0,52503032395.0
2981141404986.0,408135845787.0,97680610564.0,113213393981.0
678319059163.0,-78698175605.0,-758003748951.0,-789830839584.0
30302374349.0,6750629875.0,-17345943716.0,-16648193204.0
45045559220.0,25190271033.0,16217551875.0,15967731411.0
1087771573724.0,155172758792.0,94602277830.0,95407617020.0
119230524183.0,11903815497.0,-2227335172.0,-1176066225.0
963510808574.0,90286569006.0,37888301137.0,41539852556.0
179980998434.0,69642411243.0,15080920731.0,14889166688.0
8529279575474.0,5241317966526.0,3543940102934.0,3543527483662.0
222112989462.0,39829069488.0,17459889307.0,17459889307.0
13455585149640.0,2384750012014.0,1249825608454.0,1448586860905.0
422544571444.0,219600376667.0,180516701710.0,179385336551.0
456492806532.0,34875041450.0,31249301766.0,31666445311.0
610721474763.0,67905600423.0,8600977960.0,9513230878.0
627846753679.0,364518642805.0,328939467409.0,329011645981.0
684754473081.0,137427196120.0,59867428937.0,59665895606.0
209580465103.0,75877336939.0,-15809478823.0,-13167823681.0
357406763322.0,18191894479.0,36687995303.0,35555338483.0
100140494385.0,10712088276.0,720759370.0,1220806677.0
4445368775704.0,337344871709.0,71302296287.0,73303446655.0
1151290481902.0,238367011877.0,306778533930.0,322180812777.0
401275176502.0,177676235071.0,121609991211.0,83572221913.0
2775753386355.0,1283446290850.0,907006415261.0,763727824347.0
1913398478509.0,593473568303.0,306828547284.0,301619529470.0
822003074146.0,75332975766.0,35155628031.0,35163794159.0
569810705098.0,147386329451.0,112904342934.0,124119839411.0
158894205729.0,58350282449.0,18741795724.0,18362811489.0
386445389219.0,27758095520.0,13745602869.0,13853582671.0
31116166892.0,2564893913.0,-1027102812.0,480262229.0
1063313453038.0,64400478028.0,590509463.0,352208087.0
182734691151.0,32417838345.0,5129280931.0,4479309462.0
3308270705928.0,1344050482178.0,558981283096.0,557845821119.0
21520326885.0,5236435405.0,848894014.0,798394014.0
807411969647.0,387934429377.0,213539404141.0,227501485005.0
202083050932.0,33622470796.0,10936811401.0,11348197270.0
2933780879464.0,1380541983753.0,1060161878975.0,1056958464772.0
7136773393630.0,558801513083.0,106439826347.0,108119901162.0
107881252448.0,20768792110.0,20226526630.0,20778501625.0
662274555759.0,194961518424.0,128787525826.0,149747209426.0
411845847050.0,139317696152.0,17626554505.0,17598246183.0
9073375473961.0,109283992469.0,-636318342031.0,-2529910445056.0
35507963000000.0,610514752463.5018,31620662000000.0,27538368000000.0
254214077693.0,89033332108.0,57244456169.0,56227483841.0
364131608347.0,77890236093.0,28585504256.0,29027556153.0
178828665087.0,7254200446.0,2180416932.0,37951470451.0
174782026993.0,5314046455.0,-651088470.0,1348431645.0
136483957345.0,69020137337.0,37565724261.0,37494991541.0
1050468017.0,222740460.0,2354410892.0,2355910892.0
1059622547007.0,253728377010.0,135156635863.0,134332772945.0
150000000000.0,-21000000000.0,-16979683879.0,-16979683879.0
1385858111571.0,132137207525.0,40577945241.0,39411501014.0
14288898450.0,-243100890.0,14441197033.0,13922004467.0
237500850074.0,32605798041.0,-1734502230.0,251989899.0
165911534442.0,7637337958.0,-37256415481.0,-41696841807.0
1766550070641.0,314121543633.0,134022237666.0,135201864548.0
1542340804.0,-12851692.0,-4653598738.0,-10080496629.0
195195826979.0,124968430908.0,82195734031.0,89147101705.0
4282245723378.0,177791512404.0,60241205980.0,66300553260.0
24741368045.0,4343668542.0,26204975.0,32603726.0
39271893738448.0,4263666396467.0,510613852948.0,551203257346.0
364125331903.0,243193484990.0,176371294119.0,169584534959.0
24870207591.0,-14057039008.0,-161141941644.0,-158474985587.0
3465768683539.0,622752721676.0,219314803515.0,216207267894.0
265172268736.0,33740843498.0,13129684450.0,13342581080.0
39862204136345.0,-2327410087321.0,1123628115578.0,2620410226576.0
6884245697137.0,645247803243.0,93771228845.0,85709337063.0
185887548591.0,64693254879.0,24402586540.0,24420946255.0
2448696267958.0,726841908647.0,273229919373.0,271769222176.0
292317180642.0,173296030049.0,98532451946.0,101285633775.0
418970777786.0,2674893320.0,66791472958.0,66957439943.0
340967016165.0,57964261261.0,50802219269.0,53710123306.0
31872417486656.0,9318196568266.0,5676961187964.0,5647358628166.0
973630725931.0,23174281223.0,106027000870.0,104927538962.0
264112987330.0,156268929451.0,131795221375.0,128373086516.0
574119095281.0,107555717064.0,91063176851.0,91276939023.0
52996318288.0,12189889878.0,9145843620.0,7889277565.0
2595330463568.0,978701434375.0,950039271734.0,1199928736853.0
1067037037.0,945582537.0,407603879.0,401626718.0
